name,country,pool,position,team,on_40_man,role
Antwone Kelly,NED,D (Miami),RHP,Pittsburgh Pirates,True,pitcher
Jaitoine Kelly,NED,D (Miami),RHP,Arizona Diamondbacks,False,pitcher
Ryjeteri Merite,NED,D (Miami),LHP,Cincinnati Reds,False,pitcher
Shawndrick Oduber,NED,D (Miami),RHP,Los Angeles Dodgers,False,pitcher
Jurickson Profar,NED,D (Miami),LF,Atlanta Braves,True,batter
Ceddanne Rafaela,NED,D (Miami),UTL,Boston Red Sox,True,batter
Chadwick Tromp,NED,D (Miami),C,Atlanta Braves,False,batter
Dylan Wilson,NED,D (Miami),RHP,Seattle Mariners,False,pitcher
Yiddi Cappe,CUB,A (San Juan),2B,Miami Marlins,False,batter
Emmanuel Chapman,CUB,A (San Juan),RHP,Pittsburgh Pirates,False,pitcher
Naykel Cruz,CUB,A (San Juan),LHP,Baltimore Orioles,False,pitcher
Omar Hernandez,CUB,A (San Juan),C,Kansas City Royals,False,batter
Daviel Hurtado,CUB,A (San Juan),LHP,New York Mets,False,pitcher
Yoán Moncada,CUB,A (San Juan),3B,Los Angeles Angels,True,batter
Yariel Rodriguez,CUB,A (San Juan),RHP,Toronto Blue Jays,False,pitcher
Alexander Vargas,CUB,A (San Juan),SS,Cincinnati Reds,False,batter
Micah Ashman,CAN,A (San Juan),LHP,Baltimore Orioles,False,pitcher
Tyler Black,CAN,A (San Juan),UTL,Milwaukee Brewers,True,batter
Owen Caissie,CAN,A (San Juan),OF,Miami Marlins,True,batter
Eric Cerantola,CAN,A (San Juan),RHP,Kansas City Royals,True,pitcher
Denzel Clarke,CAN,A (San Juan),OF,Athletics,True,batter
Indigo Diaz,CAN,A (San Juan),RHP,Arizona Diamondbacks,False,pitcher
Liam Hicks,CAN,A (San Juan),C,Miami Marlins,True,batter
Antoine Jean,CAN,A (San Juan),LHP,Colorado Rockies,False,pitcher
Edouard Julien,CAN,A (San Juan),2B,Colorado Rockies,True,batter
Carter Loewen,CAN,A (San Juan),RHP,San Diego Padres,False,pitcher
Otto López,CAN,A (San Juan),SS,Miami Marlins,True,batter
Adam Macko,CAN,A (San Juan),LHP,Toronto Blue Jays,True,pitcher
Josh Naylor,CAN,A (San Juan),1B,Seattle Mariners,True,batter
Bo Naylor,CAN,A (San Juan),C,Cleveland Guardians,True,batter
Tyler O'Neill,CAN,A (San Juan),OF,Baltimore Orioles,True,batter
Cal Quantrill,CAN,A (San Juan),RHP,Texas Rangers,False,pitcher
Michael Soroka,CAN,A (San Juan),RHP,Arizona Diamondbacks,True,pitcher
Jameson Taillon,CAN,A (San Juan),RHP,Chicago Cubs,True,pitcher
Abraham Toro,CAN,A (San Juan),3B,Kansas City Royals,False,batter
Matt Wilkinson,CAN,A (San Juan),LHP,Cleveland Guardians,False,pitcher
Jared Young,CAN,A (San Juan),UTL,New York Mets,True,batter
Rob Zastryzny,CAN,A (San Juan),LHP,Milwaukee Brewers,True,pitcher
Sam Aldegheri,ITA,B (Houston),LHP,Los Angeles Angels,True,pitcher
Dan Altavilla,ITA,B (Houston),RHP,Minnesota Twins,False,pitcher
Sam Antonacci,ITA,B (Houston),IF,Chicago White Sox,False,batter
Jac Caglianone,ITA,B (Houston),OF,Kansas City Royals,True,batter
Dominic Canzone,ITA,B (Houston),OF,Seattle Mariners,True,batter
Dylan DeLucia,ITA,B (Houston),RHP,Cleveland Guardians,False,pitcher
Zach Dezenzo,ITA,B (Houston),IF,Houston Astros,True,batter
Alessandro Ercolani,ITA,B (Houston),RHP,Pittsburgh Pirates,False,pitcher
Matt Festa,ITA,B (Houston),RHP,Cleveland Guardians,True,pitcher
Andrew Fischer,ITA,B (Houston),3B,Milwaukee Brewers,False,batter
Gordon Graceffo,ITA,B (Houston),RHP,St. Louis Cardinals,True,pitcher
Alek Jacob,ITA,B (Houston),RHP,San Diego Padres,True,pitcher
Joe La Sorsa,ITA,B (Houston),LHP,Pittsburgh Pirates,False,pitcher
Michael Lorenzen,ITA,B (Houston),RHP,Colorado Rockies,True,pitcher
Ron Marinaccio,ITA,B (Houston),RHP,San Diego Padres,True,pitcher
Jakob Marsee,ITA,B (Houston),OF,Miami Marlins,True,batter
Miles Mastrobuoni,ITA,B (Houston),UTL,Seattle Mariners,True,batter
Nick Morabito,ITA,B (Houston),OF,New York Mets,True,batter
Kyle Nicolas,ITA,B (Houston),RHP,Pittsburgh Pirates,True,pitcher
Aaron Nola,ITA,B (Houston),RHP,Philadelphia Phillies,True,pitcher
Dante Nori,ITA,B (Houston),OF,Philadelphia Phillies,False,batter
Vinnie Pasquantino,ITA,B (Houston),1B,Kansas City Royals,True,batter
Thomas Saggese,ITA,B (Houston),2B,St. Louis Cardinals,True,batter
Kyle Teel,ITA,B (Houston),C,Chicago White Sox,True,batter
Greg Weissert,ITA,B (Houston),RHP,Boston Red Sox,True,pitcher
Harrison Bader,ISR,D (Miami),CF,San Francisco Giants,True,batter
Charlie Beilenson,ISR,D (Miami),RHP,Seattle Mariners,False,pitcher
Josh Blum,ISR,D (Miami),RHP,New York Mets,False,pitcher
Matt Bowman,ISR,D (Miami),RHP,Minnesota Twins,False,pitcher
Cole Carrigg,ISR,D (Miami),SS,Colorado Rockies,False,batter
Harrison Cohen,ISR,D (Miami),RHP,New York Yankees,False,pitcher
Jordan Geber,ISR,D (Miami),RHP,New York Mets,False,pitcher
Jake Gelof,ISR,D (Miami),3B,Los Angeles Dodgers,False,batter
Spencer Horwitz,ISR,D (Miami),1B,Pittsburgh Pirates,True,batter
Troy Johnston,ISR,D (Miami),LF,Colorado Rockies,True,batter
Dean Kremer,ISR,D (Miami),RHP,Baltimore Orioles,True,pitcher
Max Lazar,ISR,D (Miami),RHP,Philadelphia Phillies,True,pitcher
Carlos Lequerica,ISR,D (Miami),RHP,Detroit Tigers,False,pitcher
Zach Levenson,ISR,D (Miami),RF,St. Louis Cardinals,False,batter
Josh Mallitz,ISR,D (Miami),RHP,San Diego Padres,False,pitcher
Noah Mendlinger,ISR,D (Miami),3B,St. Louis Cardinals,False,batter
Matt Mervis,ISR,D (Miami),1B,Washington Nationals,False,batter
Eli Morgan,ISR,D (Miami),RHP,Kansas City Royals,False,pitcher
Ryan Prager,ISR,D (Miami),LHP,Cleveland Guardians,False,pitcher
RJ Schreck,ISR,D (Miami),LF,Toronto Blue Jays,False,batter
Ben Simon,ISR,D (Miami),RHP,New York Mets,False,pitcher
Robert Stock,ISR,D (Miami),RHP,New York Mets,False,pitcher
Garrett Stubbs,ISR,D (Miami),C,Philadelphia Phillies,True,batter
CJ Stubbs,ISR,D (Miami),C,Toronto Blue Jays,False,batter
Jack Anderson,GBR,B (Houston),RHP,Boston Red Sox,False,pitcher
Brendan Beck,GBR,B (Houston),RHP,New York Yankees,False,pitcher
